C Table of fluxes calculated from tables (Kurucz 1993). For calculations was used formula F=10^(-0.4*m);
C The file contains fluxes in U, B, V, R, I bands of Jonson photometric system.

S 5 11 11

1 U
           3500        3750        4000        4250        4500        4750        5000        5250        5500        5750        6000
3	1,56892E+05	3,68129E+05	6,77330E+05	1,10255E+06	1,66725E+06	2,37684E+06	3,22998E+06	4,22669E+06	5,38022E+06	6,69885E+06	8,19596E+06
3,5	1,81468E+05	3,65763E+05	6,65580E+05	1,08643E+06	1,64740E+06	2,35722E+06	3,21218E+06	4,21114E+06	5,36043E+06	6,66807E+06	8,14329E+06
4	2,09508E+05	3,85123E+05	6,58870E+05	1,06758E+06	1,62480E+06	2,33346E+06	3,19448E+06	4,19952E+06	5,34564E+06	6,64355E+06	8,10588E+06
4,5	2,22638E+05	4,10771E+05	6,70502E+05	1,05390E+06	1,59956E+06	2,30569E+06	3,17103E+06	4,18408E+06	5,33581E+06	6,63743E+06	8,08351E+06
5	2,27615E+05	4,23838E+05	6,91194E+05	1,05682E+06	1,57906E+06	2,27824E+06	3,14196E+06	4,16486E+06	5,33089E+06	6,63743E+06	8,08351E+06

4 R
           3500        3750        4000        4250        4500        4750        5000        5250        5500        5750        6000					
0	2,59896E+05	5,33089E+05	8,54280E+05	1,24738E+06	1,73620E+06	2,32488E+06	2,99778E+06	3,74973E+06	4,52064E+06	5,37032E+06	6,26902E+06
0,5	2,48199E+05	5,25775E+05	8,52707E+05	1,24280E+06	1,72346E+06	2,29932E+06	2,96483E+06	3,70851E+06	4,51648E+06	5,33581E+06	6,25173E+06
1	2,36374E+05	5,15703E+05	8,51138E+05	1,24051E+06	1,71396E+06	2,28244E+06	2,93765E+06	3,67113E+06	4,47920E+06	5,36043E+06	6,22300E+06
1,5	2,25320E+05	5,04429E+05	8,47227E+05	1,23937E+06	1,70608E+06	2,26778E+06	2,91608E+06	3,64418E+06	4,44631E+06	5,32108E+06	6,26902E+06
2	2,15179E+05	4,91134E+05	8,41783E+05	1,23709E+06	1,70294E+06	2,25528E+06	2,89734E+06	3,61743E+06	4,41774E+06	5,28689E+06	6,22874E+06
2,5	2,07396E+05	4,78189E+05	8,34834E+05	1,23709E+06	1,70137E+06	2,24905E+06	2,88138E+06	3,59749E+06	4,38935E+06	5,25775E+06	6,19441E+06
3	2,10087E+05	4,66874E+05	8,25658E+05	1,23595E+06	1,70137E+06	2,24492E+06	2,87343E+06	3,58426E+06	4,36918E+06	5,22878E+06	6,16027E+06
3,5	2,48199E+05	4,68598E+05	8,15831E+05	1,23481E+06	1,70451E+06	2,24492E+06	2,87078E+06	3,57767E+06	4,35712E+06	5,20955E+06	6,13197E+06
4	2,92146E+05	5,06757E+05	8,18842E+05	1,23367E+06	1,70923E+06	2,25113E+06	2,87343E+06	3,57767E+06	4,35712E+06	5,20475E+06	6,12068E+06
4,5	3,18273E+05	5,52077E+05	8,51138E+05	1,23937E+06	1,71396E+06	2,25944E+06	2,88403E+06	3,58757E+06	4,36516E+06	5,20955E+06	6,12068E+06
5	3,34811E+05	5,78629E+05	8,90430E+05	1,26474E+06	1,72663E+06	2,27405E+06	2,89734E+06	3,60413E+06	4,38127E+06	5,22878E+06	6,13762E+06

5 I
           3500        3750        4000        4250        4500        4750        5000        5250        5500        5750        6000
0	3,67451E+05	5,81300E+05	8,26418E+05	1,11481E+06	1,45077E+06	1,83316E+06	2,25320E+06	2,70396E+06	3,12752E+06	3,59087E+06	4,06256E+06
0,5	3,60081E+05	5,75440E+05	8,18088E+05	1,10154E+06	1,43087E+06	1,80468E+06	2,21820E+06	2,66686E+06	3,13040E+06	3,55468E+06	4,03645E+06
1	3,53183E+05	5,70164E+05	8,12831E+05	1,09345E+06	1,41775E+06	1,78484E+06	2,19180E+06	2,63269E+06	3,09885E+06	3,58757E+06	4,01051E+06
1,5	3,46418E+05	5,65458E+05	8,09096E+05	1,08743E+06	1,40734E+06	1,77011E+06	2,17170E+06	2,60856E+06	3,07044E+06	3,55795E+06	4,06256E+06
2	3,40408E+05	5,60790E+05	8,06863E+05	1,08443E+06	1,40088E+06	1,75873E+06	2,15774E+06	2,58941E+06	3,05070E+06	3,53509E+06	4,04017E+06
2,5	3,35429E+05	5,56673E+05	8,05378E+05	1,08243E+06	1,39701E+06	1,75065E+06	2,14585E+06	2,57276E+06	3,03110E+06	3,51560E+06	4,01421E+06
3	3,39782E+05	5,53605E+05	8,03896E+05	1,08243E+06	1,39573E+06	1,74743E+06	2,13796E+06	2,56330E+06	3,01717E+06	3,49623E+06	3,99577E+06
3,5	3,74973E+05	5,59758E+05	8,03156E+05	1,08343E+06	1,39701E+06	1,74582E+06	2,13403E+06	2,55623E+06	3,00608E+06	3,48337E+06	3,98107E+06
4	4,12667E+05	5,91017E+05	8,12082E+05	1,08643E+06	1,40088E+06	1,74904E+06	2,13599E+06	2,55623E+06	3,00331E+06	3,47696E+06	3,97375E+06
4,5	4,32514E+05	6,25749E+05	8,41008E+05	1,09749E+06	1,40605E+06	1,75550E+06	2,13993E+06	2,56094E+06	3,00885E+06	3,48017E+06	3,97741E+06
5	4,43404E+05	6,45060E+05	8,72569E+05	1,12512E+06	1,41906E+06	1,76522E+06	2,14981E+06	2,57040E+06	3,01995E+06	3,49301E+06	3,98841E+06
