S 10 18 20
1
0,08726646	0,17453293	0,26179939	0,34906585	0,43633231	0,52359878	0,61086524	0,6981317	0,78539816	0,87266463	0,95993109	1,04719755	1,13446401	1,22173048	1,30899694	1,3962634	1,48352986	1,57079633	
05,00	8,7656E-033	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	FALSE
10,00	5,1834E-032	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	FALSE
15,00	1,1321E-031	6,0044E-032	2,6706E-030	3,8820E-029	2,9071E-028	1,4199E-027	5,0770E-027	1,4465E-026	3,5044E-026	6,8548E-026	1,5131E-025	1,8312E-025	3,2429E-025	1,2932E-024	5,1619E-025	3,4781E-025	3,4394E-025	3,5557E-025	FALSE
20,00	1,0781E-030	2,4350E-028	6,6641E-027	6,8713E-026	3,9814E-025	1,5722E-024	4,7057E-024	1,1425E-023	2,3602E-023	4,2562E-023	6,9285E-023	1,0176E-022	1,3951E-022	1,8162E-022	2,1450E-022	2,3680E-022	2,5254E-022	2,5863E-022	FALSE
25,00	2,7608E-028	2,5767E-026	4,0821E-025	2,8442E-024	1,2223E-023	3,8180E-023	9,4654E-023	1,9665E-022	3,5608E-022	5,7926E-022	8,6260E-022	1,1848E-021	1,5183E-021	1,8438E-021	2,1386E-021	2,3740E-021	2,5254E-021	2,5775E-021	TRUE
30,00	1,6201E-026	8,0881E-025	8,3634E-024	4,3260E-023	1,5000E-022	3,9493E-022	8,4811E-022	1,5668E-021	2,5833E-021	3,8858E-021	5,4230E-021	7,0998E-021	8,7406E-021	1,0173E-020	1,1333E-020	1,2218E-020	1,2790E-020	1,2991E-020	TRUE
35,00	4,0045E-025	1,0981E-023	8,6521E-023	3,6296E-022	1,0433E-021	2,3595E-021	4,5549E-021	7,8011E-021	1,2030E-020	1,6941E-020	2,2254E-020	2,7757E-020	3,3069E-020	3,7626E-020	4,1087E-020	4,3519E-020	4,5024E-020	4,5544E-020	TRUE
40,00	5,7354E-024	9,4369E-023	5,3352E-022	1,8750E-021	4,9055E-021	1,0282E-020	1,8077E-020	2,7867E-020	3,9432E-020	5,2995E-020	6,8339E-020	8,4008E-020	9,7900E-020	1,0889E-019	1,1701E-019	1,2263E-019	1,2604E-019	1,2719E-019	TRUE
45,00	4,2678E-023	5,9075E-022	2,6776E-021	7,5058E-021	1,6407E-020	3,1074E-020	5,3124E-020	8,2453E-020	1,1574E-019	1,4744E-019	1,7363E-019	1,9494E-019	2,1441E-019	2,3424E-019	2,5456E-019	2,7268E-019	2,8495E-019	2,8921E-019	TRUE
50,00	2,0392E-022	2,3594E-021	1,0173E-020	2,6729E-020	5,2471E-020	8,5594E-020	1,2501E-019	1,7308E-019	2,3452E-019	3,1135E-019	3,9829E-019	4,8194E-019	5,4601E-019	5,8336E-019	5,9988E-019	6,0446E-019	6,0409E-019	6,0336E-019	TRUE
55,00	9,0646E-022	6,6617E-021	2,6445E-020	6,9462E-020	1,3931E-019	2,2959E-019	3,2503E-019	4,0884E-019	4,7319E-019	5,2500E-019	5,8033E-019	6,5378E-019	7,5279E-019	8,7487E-019	1,0054E-018	1,1181E-018	1,1905E-018	1,2148E-018	TRUE
60,00	3,8980E-021	1,8165E-020	5,5475E-020	1,3200E-019	2,6255E-019	4,5135E-019	6,8422E-019	9,2755E-019	1,1367E-018	1,2718E-018	1,3166E-018	1,2881E-018	1,2180E-018	1,1319E-018	1,0483E-018	9,8035E-019	9,3582E-019	9,2010E-019	TRUE
65,00	1,4184E-020	5,6330E-020	1,2767E-019	2,3746E-019	4,0415E-019	6,5129E-019	9,9435E-019	1,4269E-018	1,9151E-018	2,4032E-018	2,8247E-018	3,1149E-018	3,2410E-018	3,2363E-018	3,1657E-018	3,0790E-018	3,0102E-018	2,9832E-018	TRUE
70,00	3,8081E-020	1,6739E-019	3,3549E-019	5,2300E-019	7,1582E-019	9,3059E-019	1,2087E-018	1,5948E-018	2,1121E-018	2,7518E-018	3,4793E-018	4,2483E-018	5,0060E-018	5,6740E-018	6,1598E-018	6,4362E-018	6,5567E-018	6,5863E-018	TRUE
75,00	8,1979E-020	4,1024E-019	8,1473E-019	1,2388E-018	1,5867E-018	1,8097E-018	1,9215E-018	1,9926E-018	2,1139E-018	2,3515E-018	2,7252E-018	3,2143E-018	3,7748E-018	4,3644E-018	4,9604E-018	5,5126E-018	5,9125E-018	6,0571E-018	TRUE
80,00	1,5711E-019	8,0829E-019	1,6411E-018	2,5696E-018	3,3930E-018	3,9487E-018	4,1429E-018	3,9826E-018	3,5763E-018	3,0848E-018	2,6399E-018	2,3064E-018	2,0900E-018	1,9634E-018	1,8761E-018	1,7811E-018	1,6922E-018	1,6551E-018	TRUE
85,00	2,9441E-019	1,3049E-018	2,7184E-018	4,4012E-018	6,0767E-018	7,4786E-018	8,3783E-018	8,6288E-018	8,2101E-018	7,2587E-018	6,0309E-018	4,7705E-018	3,6280E-018	2,6796E-018	1,9434E-018	1,4254E-018	1,1295E-018	1,0346E-018	TRUE
