S 10 18 20
1
0,08726646	0,17453293	0,26179939	0,34906585	0,43633231	0,52359878	0,61086524	0,6981317	0,78539816	0,87266463	0,95993109	1,04719755	1,13446401	1,22173048	1,30899694	1,3962634	1,48352986	1,57079633	
05,00	2,7023E-036	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	
10,00	1,6417E-035	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	
15,00	3,7853E-035	8,9087E-035	8,8104E-033	2,2618E-031	2,6194E-030	1,8159E-029	8,6684E-029	3,1520E-028	9,2614E-028	2,2224E-027	5,2052E-027	8,0617E-027	1,7753E-026	3,5754E-026	3,1137E-026	4,1297E-026	9,1634E-026	3,4302E-025	
20,00	4,8594E-034	4,3047E-031	2,6093E-029	4,7388E-028	4,2631E-027	2,4111E-026	9,7656E-026	3,0763E-025	7,9753E-025	1,7596E-024	3,4267E-024	5,9468E-024	9,6300E-024	1,4715E-023	2,1621E-023	3,4800E-023	8,0427E-023	2,5128E-022	
25,00	1,5386E-031	5,5906E-029	1,9670E-027	2,4225E-026	1,6216E-025	7,2802E-025	2,4524E-024	6,6362E-024	1,5156E-023	3,0338E-023	5,4459E-023	8,8893E-023	1,3508E-022	1,9749E-022	2,9050E-022	4,7192E-022	1,0424E-021	2,5032E-021	
30,00	1,0609E-029	2,0765E-027	4,7926E-026	4,3853E-025	2,3717E-024	8,9987E-024	2,6329E-023	6,3534E-023	1,3258E-022	2,4651E-022	4,1738E-022	6,5327E-022	9,5796E-022	1,3535E-021	1,9389E-021	3,0841E-021	6,3643E-021	1,2604E-020	
35,00	3,0571E-028	3,2540E-026	5,7167E-025	4,2629E-024	1,9183E-023	6,2565E-023	1,6463E-022	3,6934E-022	7,2383E-022	1,2643E-021	2,0206E-021	3,0266E-021	4,3218E-021	6,0112E-021	8,5094E-021	1,3309E-020	2,5696E-020	4,4161E-020	
40,00	4,9078E-027	3,1960E-025	4,0207E-024	2,4979E-023	1,0221E-022	3,1025E-022	7,4758E-022	1,5137E-021	2,7230E-021	4,5406E-021	7,1384E-021	1,0593E-020	1,4948E-020	2,0587E-020	2,8941E-020	4,4559E-020	8,0389E-020	1,2329E-019	
45,00	4,0234E-026	2,2205E-024	2,2668E-023	1,1297E-022	3,8536E-022	1,0509E-021	2,4549E-021	5,0159E-021	8,9983E-021	1,4303E-020	2,0677E-020	2,8285E-020	3,7957E-020	5,1383E-020	7,2299E-020	1,1091E-019	1,9276E-019	2,8002E-019	
